DrawNo,DrawDate,DrawnNo1,DrawnNo2, DrawnNo3, DrawnNo4, DrawnNo5, DrawnNo6,BonusNo,Jackpot1, Jackpot2
485818,20181106,12,16,18,21,22,46,28,0506490884,0020092060
485918,20181107,08,18,23,44,46,48,16,0510922806,0021200041
486018,20181110,21,26,29,40,47,48,49,0515922746,0022450026
486118,20181111,02,10,12,20,28,36,03,0520824764,0023675531
486218,20181114,03,16,31,36,44,46,04,0525742908,0024228622
486318,20181117,05,08,17,22,34,50,13,0530735874,0025476864
486418,20181118,05,15,22,29,32,43,09,0535671882,0026710866
486518,20181121,06,08,23,31,32,38,15,0540565716,0027934325
486618,20181124,15,16,24,37,41,47,17,0545555580,0029181791
486718,20181125,02,14,19,25,27,42,16,0550410408,0010000000
486818,20181127,05,19,20,25,34,43,17,0554237418,0010000000
486918,20181128,06,11,18,19,25,39,08,0558557074,0010000000
487018,20181201,12,14,22,32,40,47,41,0563370520,0010000000
487118,20181202,01,05,16,29,40,47,07,0568109518,0010000000
487218,20181204,02,19,23,25,38,45,41,0571958352,0010000000
487318,20181205,01,07,21,22,38,45,05,0576266920,0010000000
487418,20181208,15,36,38,41,42,50,49,0581130966,0010000000
487518,20181209,11,23,30,33,37,49,42,0585734290,0010000000
487618,20181212,15,27,38,42,44,48,12,0590439430,0010000000
487718,20181215,02,09,17,47,48,49,12,0595272522,0010000000
487818,20181216,04,12,13,18,24,47,08,0600096308,0010000000
487918,20181219,05,09,20,22,33,42,21,0605371864,0010000000
488018,20181222,06,10,20,22,23,48,19,0610419500,0010000000
488118,20181223,01,23,30,36,38,47,15,0615276704,0010000000
488218,20181225,20,28,38,40,49,50,45,0619507656,0010000000
488318,20181226,21,25,27,35,38,46,10,0623860950,0010000000
488418,20181229,12,20,22,27,39,42,07,0628802062,0010000000
488518,20181230,01,02,03,07,30,49,13,0634104986,0010000000
488619,20190102,26,32,35,38,45,50,46,0639360236,0010000000
488719,20190105,01,10,14,31,41,48,33,0644447208,0010000000
488819,20190106,01,06,10,41,44,49,26,0649456696,0011021209
488919,20190109,04,06,14,22,34,44,24,0654562390,0012297633
489019,20190112,01,17,18,27,48,49,09,0659660758,0010000000
489119,20190113,04,05,08,14,17,48,50,0664502694,0010000000
489219,20190116,13,14,17,18,22,42,45,0669284196,0010000000
489319,20190119,10,12,16,17,22,35,38,0674312054,0010000000
489419,20190120,02,04,14,19,35,40,03,0679282074,0010000000
489519,20190123,03,21,24,26,31,40,50,0684475900,0010000000
489619,20190126,01,06,16,32,42,50,05,0689621018,0010000000
489719,20190127,08,13,14,19,27,42,11,0694815988,0010000000
489819,20190129,06,17,24,39,42,47,26,0699104316,0010000000
489919,20190130,02,17,20,32,35,39,38,0704118710,0010000000
490019,20190202,06,07,18,19,34,37,17,0710143388,0011410177
490119,20190203,01,31,37,39,46,48,27,0716227378,0012931175
490219,20190205,05,12,14,24,33,45,03,0722054122,0014387861
490319,20190206,02,13,14,24,30,34,11,0728327356,0015956170
490419,20190209,10,12,14,17,22,42,36,0734829390,0017581679
490519,20190210,05,11,18,20,21,31,40,0741119982,0019154327
490619,20190213,03,22,26,34,44,50,39,0124023424,0020437983
490719,20190216,01,08,18,31,35,42,07,0128755954,0010000000
490819,20190217,13,14,15,34,44,48,35,0133298052,0010000000
490919,20190219,04,20,35,36,38,45,10,0137000432,0010000000
491019,20190220,02,06,19,20,33,35,45,0140986678,0010000000
491119,20190223,02,10,24,27,35,37,09,0145629624,0010000000
491219,20190224,13,26,31,34,40,45,28,0149997460,0010000000
491319,20190227,08,13,24,28,40,41,25,0154343296,0010000000
491419,20190302,07,22,25,26,41,48,02,0158884712,0010000000
491519,20190303,04,12,26,27,40,47,36,0163377090,0010000000
491619,20190306,03,06,14,22,23,47,10,0167659258,0010000000
491719,20190309,32,34,42,43,44,50,38,0172041966,0010000000
491819,20190310,05,15,27,29,34,43,36,0176316764,0010000000
491919,20190313,07,13,17,30,38,43,33,0180528686,0010000000
492019,20190316,12,18,22,28,32,44,29,0184834174,0010000000
492119,20190317,03,10,16,17,35,39,08,0189071748,0010000000
492219,20190320,03,08,09,28,47,49,32,0193209222,0010000000
492319,20190323,01,14,16,34,42,43,19,0197453506,0010000000
492419,20190324,01,12,30,31,33,49,26,0201564118,0010000000
492519,20190327,04,05,11,13,26,50,44,0205683574,0010576623
492619,20190330,19,23,24,37,40,49,45,0210045382,0011667075
492719,20190331,05,15,19,24,38,49,45,0214307442,0010000000
492819,20190402,06,26,30,31,35,48,11,0217672518,0010000000
492919,20190403,06,09,19,24,47,50,49,0221481158,0010000000
493019,20190406,04,30,40,41,45,49,02,0225725156,0010000000
493119,20190407,04,08,14,24,38,40,29,0229920336,0010000000
493219,20190410,13,21,36,38,43,50,09,0234076532,0010000000
493319,20190413,02,13,31,44,48,49,35,0238303172,0010000000
493419,20190414,16,31,34,35,47,48,18,0242532562,0010000000
493519,20190417,13,16,19,24,32,35,39,0246707590,0010000000
493619,20190420,03,09,14,31,35,47,27,0250993828,0010000000
493719,20190421,04,28,36,41,45,47,19,0255304882,0010860327
493819,20190424,05,15,34,35,44,45,24,0259523448,0011914969
493919,20190427,07,08,13,19,31,43,48,0263885036,0012664936
494019,20190428,02,04,16,34,35,50,41,0268101710,0013719105
494119,20190501,01,06,34,39,40,47,31,0272602052,0014844191
494219,20190504,05,16,22,27,28,41,04,0277010390,0015946276
494319,20190505,16,17,20,27,39,40,05,0281305934,0017020162
494419,20190508,03,05,19,25,33,38,39,0285558820,0018083384
494519,20190511,09,12,22,25,32,46,26,0289883580,0019164574
494619,20190512,04,07,21,24,25,45,08,0294200706,0020243856
494719,20190515,01,24,31,44,46,49,22,0298308942,0010000000
494819,20190518,17,22,28,36,38,49,37,0302514330,0010000000
494919,20190519,05,11,16,25,34,45,38,0306711996,0010000000
495019,20190522,02,05,06,11,28,47,01,0296944997,0010000000
495119,20190525,07,16,18,19,31,38,05,0301255809,0010000000
495219,20190526,03,14,25,38,46,49,21,0305641399,0010000000
495319,20190529,06,08,11,13,32,43,28,0309813611,0010000000
495419,20190601,16,18,23,24,29,44,40,0314160349,0010000000
