DrawNo,DrawDate,DrawnNo1,DrawnNo2, DrawnNo3, DrawnNo4, DrawnNo5, DrawnNo6,Jackpot
325209,20091031,17,20,24,30,49,50,0426643629
325309,20091101,01,05,18,23,50,51,0439869056
325409,20091103,05,09,13,15,48,55,0454276056
325509,20091104,09,28,36,41,47,50,0466824556
325609,20091107,17,19,24,27,33,38,0480533325
325709,20091108,17,22,30,32,38,54,0494376831
325809,20091111,02,18,25,32,37,54,0508774143
325909,20091114,06,13,21,38,41,45,0523964676
326009,20091115,01,02,32,36,45,51,0538291775
326109,20091117,06,10,31,40,44,54,0550894329
326209,20091118,11,23,32,41,45,55,0564147283
326309,20091121,12,15,18,24,27,43,0579430444
326409,20091122,03,07,23,29,38,54,0594941404
326509,20091125,04,18,28,35,43,51,0611604515
326609,20091128,06,16,25,32,34,45,0629663985
326709,20091129,06,10,15,22,28,37,0646997301
326809,20091202,02,20,32,34,50,53,0665174639
326909,20091205,23,28,30,34,37,42,0683920724
327009,20091206,16,32,35,36,37,41,0701676605
327109,20091208,03,14,37,38,40,53,0721232213
327209,20091209,08,10,23,26,30,51,0739393142
327309,20091212,01,15,20,37,45,47,0759886651
327409,20091213,07,15,26,30,42,54,0779083114
327509,20091215,05,08,27,41,48,49,0795893443
327609,20091216,29,31,41,43,51,53,0814425242
327709,20091219,07,08,20,25,42,43,0836033865
327809,20091220,11,22,32,36,42,47,0856877009
327909,20091223,11,21,23,31,34,39,0879412343
328009,20091226,35,37,41,45,49,53,0902312184
328109,20091227,10,14,20,22,23,37,0924985406
328209,20091230,05,11,18,23,31,51,0949457640
328310,20100102,10,15,22,27,30,55,0317159643
328410,20100103,07,11,14,23,37,52,0330602894
328510,20100106,12,16,22,26,40,45,0343455913
328610,20100109,18,19,21,23,27,42,0356085459
328710,20100110,04,06,09,12,30,36,0367941768
328810,20100113,21,27,30,31,37,41,0379986479
328910,20100116,05,25,27,28,43,44,0391988219
329010,20100117,04,07,17,19,40,53,0403298018
329110,20100120,11,31,32,35,37,41,0415142672
329210,20100123,23,24,33,37,46,53,0426863167
329310,20100124,10,17,23,29,42,53,0438123774
329410,20100126,01,04,05,22,30,41,0447627983
329510,20100127,13,20,25,33,45,54,0458216811
329610,20100130,10,14,19,26,42,53,0469857333
329710,20100131,04,17,28,29,31,44,0480946590
329810,20100202,01,03,11,38,41,50,0490611889
329910,20100203,09,12,21,29,35,41,0501057503
330010,20100206,05,06,19,27,47,50,0513072006
330110,20100207,18,26,35,42,52,53,0524732977
330210,20100210,16,26,29,30,45,50,0537289485
330310,20100213,01,02,11,21,27,33,0551175429
330410,20100214,05,28,31,34,38,50,0564052079
330510,20100216,05,11,23,46,47,54,0575700323
